drink_name,drink_type,drink_image,drink_abv,drink_producer,drink_tasting_notes
Two Tribes Material World American Pale Ale,Pale Ale,,5.5,Two Tribes,
Two Tribes New Romantic Passion Fruit Gose,Gose,,3.6,Two Tribes,
Two Tribes Non Stop Hits Modern Lager,Lager,,5.0,Two Tribes,
Tyskie Gronie,Lager,,5.0,Tyskie,
Union,Ale,,4.8,Butcombe,
Vedett Extra Blonde,Lager,,5.0,Vedett,
Vedett Extra Ordinary IPA,IPA,,5.5,Vedett,
Vedett Session IPA,IPA,,2.7,Vedett,
Vic Ale Mumbai IPA,IPA,,6.2,Vic Ale,
Wadworth 6X Gold,Golden Ale,,4.5,Wadworth,
Wadworth Big Baubles,Pale Ale,,4.9,Wadworth,
Wadworth Brewer's Strength IPA,IPA,,6.2,Wadworth,
Wadworth Carrier,Pale Ale,,3.6,Wadworth,
Wadworth Cooper's Vice,Red Ale,,5.0,Wadworth,
Wadworth Corvus,Stout,,4.1,Wadworth,
Wadworth Dray Bells,Amber Ale,,4.1,Wadworth,
Wadworth Farmers Glory,Ale,,4.4,Wadworth,
Wadworth Game of Stones,Golden Ale,,3.8,Wadworth,
Wadworth Treacle Treat,Dark Ale,,4.2,Wadworth,
Wadworths Dirty Rucker,Ale,,3.9,Wadworth,
Wadworths Studs Up,Pale Ale,,4.0,Wadworth,
Wainwright,Beer,,4.1,Wainwright,
Warsteiner,Lager,,4.8,Warsteiner,
Westons Mortimers Orchard Cider,Cider,,5.0,Westons,
Westons Mortimers Orchard English Berry,Fruit Cider,,4.0,Westons,
Westons Old Rosie,Cider,,7.3,Westons,
Westons Rosie's Pig,Cider,,4.8,Westons,
Whipstitch Festival Dark Fruits Cider,Fruit Cider,,4.7,Whipstitch,
Whitbread Best Bitter,Bitter,,3.3,Whitbread,
Wild Beer Bibble,Pale Ale,,4.2,The Wild Beer Co,
Wild Beer Fresh,Ale,,5.5,The Wild Beer Co,
Wild Beer Madness IPA,IPA,,6.8,The Wild Beer Co,
Wild Beer Millionaire,Stout,,4.7,The Wild Beer Co,
Wild Beer Nebula Hazy IPA,IPA,,5.0,The Wild Beer Co,
Wild Beer Pogo,Pale Ale,,4.0,The Wild Beer Co,
Wild Beer Sleeping Lemons,Gose,,3.6,The Wild Beer Co,
Wild Beer Sleeping Limes,Gose,,4.6,The Wild Beer Co,
Wild Beer Yokai,IPA,,5.0,The Wild Beer Co,
Woodpecker Cider,Cider,,3.5,Woodpecker,
Worthington Creamflow,Bitter,,3.6,Worthington,
Wychwood Hoppleganger,Blonde Ale,,4.4,Wychwood,
Wylam Club of Slaughters,Stout,,8.8,Wylam,
Wylam Haxan,Wheat Beer,,6.2,Wylam,
Wylam Hickey the Rake,Pale Ale,,4.2,Wylam,
Wylam Jakehead IPA,IPA,,6.3,Wylam,
Wylam Le Sasionnier,Saison,,5.4,Wylam,
Wylam Remain in Light,Pale Ale,,5.0,Wylam,
Yeastie Boys Bigmouth,IPA,,4.4,Yeastie Boys,
Yeastie Boys Digital IPA,IPA,,5.7,Yeastie Boys,
Yeastie Boys Gunnamatta,IPA,,6.5,Yeastie Boys,
Yeastie Boys Pot Kettle Black,Porter,,6.0,Yeastie Boys,
Yeastie Boys White Noise,Wheat Beer,,4.4,Yeastie Boys,
Young's Bitter,Bitter,,3.7,Young's,
Young's London Stout,Stout,,4.3,Young's,
Zeffer Hopped Infused Cider,Cider,,5.4,Zeffer,
Zywiec,Lager,,5.6,Zywiec,
